Order_ID,Order_Date,Customer_Region,City,Product_Category,Product_Sub_Category,Order_Channel,Order_Value,Quantity,Payment_Mode,Warehouse_Location,Dispatch_Date,Delivery_Date,Delivery_Status,Delay_Days,Inventory_Availability,Return_Flag,Return_Reason
ORD100042,02-11-2024,QLD,Melbourne,Electronics,Standard,Web,36367,1,COD,WH-Melbourne,02-11-2024,09-11-2024,On-time,0,Yes,No,NA
ORD100043,14-05-2024,North India,Bangalore,Grocery,Budget,App,20499,1,Card,WH-Sydney,15-05-2024,20-05-2024,Cancelled,0,Yes,Yes,Wrong Item
ORD100044,21-01-2024,South India,Bangalore,Fashion,Budget,Web,1740,4,UPI,WH-Bangalore,21-01-2024,22-01-2024,On-time,0,Yes,No,NA
ORD100045,24-11-2024,West India,Mumbai,Beauty,Standard,Web,25146,4,UPI,WH-Bangalore,26-11-2024,29-11-2024,On-time,0,Yes,No,NA
ORD100046,15-06-2024,North India,Delhi,Grocery,Standard,Web,8431,2,Wallet,WH-Melbourne,15-06-2024,21-06-2024,On-time,0,Yes,No,NA
ORD100047,30-09-2024,NSW,Kolkata,Beauty,Premium,Web,45585,2,COD,WH-Melbourne,30-09-2024,04-10-2024,Cancelled,0,Yes,No,NA
ORD100048,29-03-2024,QLD,Kolkata,Home & Kitchen,Standard,Web,48883,3,Card,WH-Melbourne,30-03-2024,02-04-2024,Delayed,5,No,No,NA
ORD100049,11-11-2024,NSW,Melbourne,Grocery,Premium,Web,13458,3,Card,WH-Melbourne,12-11-2024,19-11-2024,Delayed,4,Yes,Yes,Late Delivery
ORD100050,14-01-2024,QLD,Kolkata,Fashion,Budget,Web,46975,4,UPI,WH-Delhi,16-01-2024,18-01-2024,On-time,0,Yes,Yes,No Issue
ORD100051,29-08-2024,North India,Kolkata,Home & Kitchen,Budget,App,18428,4,UPI,WH-Bangalore,29-08-2024,04-09-2024,On-time,0,Yes,No,NA
ORD100052,21-09-2024,VIC,Delhi,Grocery,Budget,Web,24984,4,COD,WH-Sydney,23-09-2024,24-09-2024,On-time,0,No,No,NA
ORD100053,11-12-2024,QLD,Sydney,Beauty,Standard,Web,13793,3,Wallet,WH-Sydney,12-12-2024,19-12-2024,On-time,0,Yes,No,NA
ORD100054,22-02-2024,VIC,Sydney,Home & Kitchen,Standard,App,27789,1,COD,WH-Bangalore,24-02-2024,01-03-2024,On-time,0,Yes,No,NA
ORD100055,05-12-2024,West India,Brisbane,Fashion,Budget,App,34374,4,Card,WH-Sydney,06-12-2024,11-12-2024,On-time,0,Yes,No,NA
ORD100056,01-04-2024,NSW,Sydney,Grocery,Budget,Web,43912,4,COD,WH-Bangalore,03-04-2024,07-04-2024,On-time,0,Yes,Yes,Late Delivery
ORD100057,20-09-2024,VIC,Melbourne,Beauty,Premium,App,40445,2,COD,WH-Mumbai,21-09-2024,23-09-2024,On-time,0,Yes,No,NA
ORD100058,04-02-2024,NSW,Chennai,Beauty,Standard,Web,12043,1,Card,WH-Bangalore,05-02-2024,06-02-2024,On-time,0,Yes,No,NA
ORD100059,24-07-2024,QLD,Brisbane,Sports,Standard,App,49932,1,Card,WH-Sydney,26-07-2024,31-07-2024,On-time,0,Yes,No,NA
ORD100060,21-03-2024,QLD,Delhi,Home & Kitchen,Premium,App,10407,3,Card,WH-Mumbai,23-03-2024,28-03-2024,On-time,0,No,No,NA
ORD100061,19-02-2024,West India,Melbourne,Grocery,Budget,App,9805,4,UPI,WH-Sydney,20-02-2024,26-02-2024,Delayed,5,Yes,No,NA
ORD100062,25-12-2024,QLD,Bangalore,Sports,Budget,Web,43636,3,Wallet,WH-Delhi,27-12-2024,29-12-2024,Cancelled,0,Yes,No,NA
ORD100063,02-01-2024,West India,Delhi,Beauty,Standard,App,37672,3,UPI,WH-Sydney,02-01-2024,07-01-2024,Cancelled,0,Yes,No,NA
ORD100064,23-02-2024,VIC,Mumbai,Home & Kitchen,Standard,Web,10679,1,COD,WH-Mumbai,23-02-2024,01-03-2024,Delayed,1,Yes,No,NA
ORD100065,15-04-2024,QLD,Kolkata,Electronics,Budget,Web,3521,3,Wallet,WH-Bangalore,15-04-2024,18-04-2024,Delayed,5,Yes,No,NA
ORD100066,16-09-2024,North India,Hyderabad,Beauty,Premium,App,10220,4,COD,WH-Sydney,18-09-2024,21-09-2024,On-time,0,Yes,No,NA
ORD100067,05-11-2024,East India,Bangalore,Home & Kitchen,Premium,App,11531,1,COD,WH-Bangalore,06-11-2024,07-11-2024,On-time,0,No,No,NA
ORD100068,09-07-2024,South India,Brisbane,Electronics,Premium,Web,13070,1,UPI,WH-Sydney,11-07-2024,14-07-2024,On-time,0,Yes,No,NA
ORD100069,05-08-2024,East India,Melbourne,Home & Kitchen,Standard,Web,1630,4,Wallet,WH-Melbourne,05-08-2024,07-08-2024,On-time,0,Yes,Yes,Wrong Item
ORD100070,13-02-2024,East India,Bangalore,Beauty,Premium,Web,41291,1,UPI,WH-Sydney,15-02-2024,22-02-2024,Delayed,3,Yes,Yes,No Issue
ORD100071,10-06-2024,NSW,Mumbai,Electronics,Standard,App,40884,2,Card,WH-Melbourne,11-06-2024,12-06-2024,On-time,0,Yes,No,NA
ORD100072,20-07-2024,West India,Melbourne,Home & Kitchen,Standard,Web,30575,4,Card,WH-Sydney,20-07-2024,24-07-2024,Delayed,5,Yes,No,NA
ORD100073,26-09-2024,NSW,Hyderabad,Grocery,Budget,App,32026,1,UPI,WH-Sydney,28-09-2024,03-10-2024,On-time,0,Yes,Yes,Late Delivery
ORD100074,16-12-2024,VIC,Brisbane,Electronics,Budget,Web,44864,3,UPI,WH-Melbourne,17-12-2024,20-12-2024,On-time,0,Yes,No,NA
ORD100075,30-10-2024,South India,Delhi,Home & Kitchen,Premium,App,7239,3,UPI,WH-Delhi,31-10-2024,04-11-2024,On-time,0,Yes,Yes,Wrong Item
ORD100076,27-09-2024,VIC,Bangalore,Grocery,Premium,Web,30041,4,COD,WH-Bangalore,29-09-2024,04-10-2024,On-time,0,Yes,No,NA
ORD100077,02-08-2024,North India,Hyderabad,Electronics,Standard,Web,49559,4,Wallet,WH-Mumbai,04-08-2024,06-08-2024,On-time,0,Yes,Yes,Late Delivery
ORD100078,08-09-2024,South India,Mumbai,Home & Kitchen,Budget,App,22968,4,Wallet,WH-Sydney,09-09-2024,13-09-2024,On-time,0,Yes,No,NA
ORD100079,08-07-2024,NSW,Bangalore,Beauty,Budget,App,8004,2,Card,WH-Mumbai,09-07-2024,10-07-2024,Delayed,1,Yes,No,NA
ORD100080,22-10-2024,QLD,Chennai,Electronics,Standard,App,2429,3,Wallet,WH-Delhi,22-10-2024,24-10-2024,Delayed,3,Yes,No,NA
ORD100081,31-07-2024,QLD,Chennai,Electronics,Premium,App,32003,3,Wallet,WH-Sydney,01-08-2024,04-08-2024,On-time,0,Yes,No,NA
ORD100082,26-07-2024,NSW,Brisbane,Grocery,Premium,App,24011,4,Wallet,WH-Melbourne,28-07-2024,01-08-2024,On-time,0,Yes,No,NA
ORD100083,24-08-2024,VIC,Delhi,Sports,Standard,Web,45776,3,COD,WH-Melbourne,24-08-2024,30-08-2024,On-time,0,Yes,No,NA
ORD100084,03-12-2024,NSW,Brisbane,Sports,Budget,App,11137,2,Card,WH-Sydney,05-12-2024,07-12-2024,Delayed,4,Yes,Yes,Late Delivery
ORD100085,22-02-2024,NSW,Brisbane,Home & Kitchen,Standard,App,44304,1,UPI,WH-Melbourne,22-02-2024,24-02-2024,On-time,0,Yes,No,NA
ORD100086,06-10-2024,East India,Kolkata,Beauty,Standard,App,31631,2,Wallet,WH-Delhi,08-10-2024,12-10-2024,On-time,0,Yes,No,NA
ORD100087,04-08-2024,North India,Delhi,Grocery,Premium,App,5225,4,Wallet,WH-Bangalore,04-08-2024,07-08-2024,Delayed,3,Yes,No,NA
ORD100088,08-09-2024,QLD,Kolkata,Electronics,Budget,App,39812,2,COD,WH-Bangalore,08-09-2024,10-09-2024,On-time,0,Yes,Yes,Late Delivery
ORD100089,06-07-2024,East India,Melbourne,Sports,Premium,Web,27832,3,Card,WH-Delhi,08-07-2024,14-07-2024,On-time,0,No,No,NA
ORD100090,10-02-2024,NSW,Hyderabad,Grocery,Premium,App,26597,3,Wallet,WH-Melbourne,11-02-2024,15-02-2024,On-time,0,Yes,No,NA
ORD100091,05-06-2024,West India,Hyderabad,Grocery,Budget,Web,6817,2,COD,WH-Bangalore,05-06-2024,07-06-2024,On-time,0,Yes,No,NA
ORD100092,15-01-2024,East India,Delhi,Grocery,Premium,App,25376,4,UPI,WH-Melbourne,17-01-2024,18-01-2024,On-time,0,Yes,No,NA
ORD100093,27-10-2024,NSW,Delhi,Electronics,Standard,App,37360,4,Card,WH-Melbourne,27-10-2024,31-10-2024,On-time,0,Yes,No,NA
ORD100094,05-03-2024,QLD,Melbourne,Fashion,Standard,Web,39514,1,Wallet,WH-Mumbai,05-03-2024,09-03-2024,Delayed,5,Yes,No,NA
ORD100095,10-12-2024,NSW,Hyderabad,Grocery,Budget,App,24215,2,UPI,WH-Bangalore,10-12-2024,16-12-2024,Delayed,2,Yes,Yes,No Issue
ORD100096,22-11-2024,North India,Melbourne,Fashion,Standard,App,37186,1,Wallet,WH-Melbourne,24-11-2024,26-11-2024,Delayed,1,Yes,No,NA
ORD100097,09-01-2024,VIC,Mumbai,Sports,Standard,Web,14652,3,Card,WH-Mumbai,10-01-2024,17-01-2024,On-time,0,Yes,No,NA
ORD100098,09-12-2024,South India,Chennai,Beauty,Standard,Web,38988,2,COD,WH-Delhi,09-12-2024,13-12-2024,Delayed,3,Yes,No,NA
ORD100099,08-05-2024,East India,Brisbane,Sports,Standard,App,15013,1,Wallet,WH-Bangalore,09-05-2024,10-05-2024,On-time,0,Yes,No,NA
ORD100100,15-05-2024,East India,Bangalore,Beauty,Premium,Web,10511,2,Card,WH-Delhi,15-05-2024,21-05-2024,Delayed,2,Yes,Yes,Damaged
ORD100101,03-03-2024,East India,Kolkata,Beauty,Standard,App,31073,2,COD,WH-Delhi,05-03-2024,08-03-2024,On-time,0,Yes,No,NA
ORD100102,18-05-2024,NSW,Sydney,Sports,Budget,App,2210,3,UPI,WH-Sydney,18-05-2024,19-05-2024,Delayed,3,Yes,No,NA
ORD100103,21-03-2024,North India,Bangalore,Home & Kitchen,Premium,App,7828,1,Wallet,WH-Bangalore,21-03-2024,27-03-2024,On-time,0,Yes,No,NA
ORD100104,11-06-2024,NSW,Delhi,Electronics,Standard,Web,45933,1,UPI,WH-Delhi,11-06-2024,17-06-2024,On-time,0,No,Yes,No Issue
ORD100105,15-10-2024,NSW,Mumbai,Fashion,Standard,Web,21076,1,Wallet,WH-Delhi,15-10-2024,19-10-2024,On-time,0,Yes,No,NA
ORD100106,17-09-2024,VIC,Sydney,Home & Kitchen,Budget,App,23705,1,Card,WH-Delhi,19-09-2024,23-09-2024,On-time,0,Yes,No,NA
ORD100107,18-08-2024,West India,Sydney,Fashion,Premium,App,26235,1,UPI,WH-Melbourne,18-08-2024,20-08-2024,Delayed,1,Yes,No,NA
ORD100108,10-02-2024,North India,Delhi,Electronics,Standard,Web,33655,3,Wallet,WH-Bangalore,12-02-2024,17-02-2024,Delayed,1,Yes,No,NA
ORD100109,28-01-2024,East India,Sydney,Grocery,Budget,App,35171,2,Card,WH-Bangalore,28-01-2024,02-02-2024,On-time,0,Yes,No,NA
ORD100110,14-05-2024,South India,Kolkata,Sports,Premium,Web,32222,3,Wallet,WH-Bangalore,16-05-2024,19-05-2024,On-time,0,Yes,No,NA
ORD100111,19-07-2024,East India,Kolkata,Home & Kitchen,Premium,Web,21143,2,COD,WH-Bangalore,19-07-2024,21-07-2024,On-time,0,Yes,No,NA
ORD100112,23-11-2024,NSW,Sydney,Electronics,Standard,Web,42898,1,Card,WH-Bangalore,23-11-2024,29-11-2024,On-time,0,No,No,NA
ORD100113,24-09-2024,North India,Sydney,Sports,Budget,Web,32957,3,Card,WH-Delhi,24-09-2024,25-09-2024,On-time,0,No,No,NA
ORD100114,02-02-2024,QLD,Delhi,Home & Kitchen,Budget,Web,30116,4,Wallet,WH-Mumbai,04-02-2024,06-02-2024,On-time,0,Yes,No,NA
ORD100115,17-02-2024,North India,Hyderabad,Beauty,Standard,App,21660,2,Card,WH-Sydney,18-02-2024,20-02-2024,On-time,0,No,No,NA
ORD100116,02-03-2024,North India,Melbourne,Home & Kitchen,Standard,Web,1501,2,UPI,WH-Bangalore,04-03-2024,05-03-2024,On-time,0,No,No,NA
ORD100117,03-08-2024,West India,Melbourne,Grocery,Standard,Web,21137,2,Wallet,WH-Melbourne,03-08-2024,10-08-2024,On-time,0,Yes,Yes,Damaged
ORD100118,19-10-2024,East India,Bangalore,Grocery,Budget,Web,9504,1,COD,WH-Mumbai,20-10-2024,22-10-2024,On-time,0,Yes,Yes,Wrong Item
ORD100119,08-04-2024,West India,Bangalore,Fashion,Premium,App,30934,3,Card,WH-Melbourne,10-04-2024,17-04-2024,On-time,0,Yes,No,NA
ORD100120,20-06-2024,QLD,Sydney,Home & Kitchen,Standard,Web,5921,2,COD,WH-Delhi,22-06-2024,26-06-2024,On-time,0,Yes,Yes,Wrong Item
ORD100121,25-12-2024,QLD,Chennai,Beauty,Standard,Web,28086,1,UPI,WH-Sydney,25-12-2024,28-12-2024,On-time,0,Yes,No,NA
ORD100122,01-08-2024,VIC,Kolkata,Grocery,Premium,Web,19280,3,Card,WH-Delhi,01-08-2024,06-08-2024,Cancelled,0,Yes,No,NA
ORD100123,04-02-2024,South India,Brisbane,Fashion,Premium,App,45949,4,Card,WH-Delhi,06-02-2024,07-02-2024,Cancelled,0,Yes,No,NA
ORD100124,14-08-2024,VIC,Mumbai,Beauty,Budget,App,18231,2,Wallet,WH-Bangalore,14-08-2024,19-08-2024,Delayed,4,Yes,No,NA
ORD100125,10-04-2024,NSW,Mumbai,Beauty,Standard,App,31269,1,COD,WH-Melbourne,11-04-2024,15-04-2024,Delayed,5,Yes,No,NA
ORD100126,10-05-2024,West India,Kolkata,Beauty,Budget,Web,14135,2,Wallet,WH-Bangalore,10-05-2024,15-05-2024,On-time,0,Yes,No,NA
ORD100127,13-09-2024,West India,Bangalore,Electronics,Premium,Web,18421,1,COD,WH-Delhi,14-09-2024,18-09-2024,On-time,0,Yes,No,NA
ORD100128,05-01-2024,VIC,Delhi,Grocery,Standard,App,46398,4,Wallet,WH-Sydney,06-01-2024,11-01-2024,Cancelled,0,Yes,No,NA
ORD100129,05-08-2024,NSW,Mumbai,Electronics,Budget,App,28222,3,COD,WH-Mumbai,05-08-2024,12-08-2024,On-time,0,Yes,Yes,Late Delivery
ORD100130,11-09-2024,North India,Sydney,Electronics,Budget,Web,2282,2,Wallet,WH-Delhi,13-09-2024,20-09-2024,Delayed,5,Yes,Yes,Damaged
ORD100131,24-12-2024,NSW,Chennai,Grocery,Premium,App,19432,4,Card,WH-Delhi,25-12-2024,28-12-2024,On-time,0,Yes,No,NA
ORD100132,09-10-2024,East India,Mumbai,Home & Kitchen,Standard,App,35018,4,Card,WH-Delhi,09-10-2024,13-10-2024,Cancelled,0,No,No,NA
ORD100133,25-07-2024,VIC,Melbourne,Sports,Budget,App,40153,4,COD,WH-Melbourne,26-07-2024,27-07-2024,Delayed,2,Yes,No,NA
ORD100134,15-01-2024,NSW,Chennai,Fashion,Budget,Web,6373,1,Wallet,WH-Mumbai,17-01-2024,18-01-2024,On-time,0,Yes,No,NA
ORD100135,11-12-2024,North India,Chennai,Sports,Premium,App,43473,1,COD,WH-Sydney,13-12-2024,15-12-2024,On-time,0,Yes,Yes,No Issue
ORD100136,11-02-2024,NSW,Mumbai,Sports,Standard,App,35503,1,Wallet,WH-Delhi,13-02-2024,15-02-2024,On-time,0,Yes,No,NA
ORD100137,27-06-2024,West India,Delhi,Sports,Premium,App,30117,3,COD,WH-Mumbai,28-06-2024,01-07-2024,Delayed,2,Yes,No,NA
ORD100138,03-03-2024,South India,Delhi,Sports,Budget,Web,23156,4,UPI,WH-Delhi,04-03-2024,11-03-2024,On-time,0,Yes,No,NA
ORD100139,17-12-2024,West India,Bangalore,Grocery,Standard,Web,4064,1,Card,WH-Mumbai,18-12-2024,23-12-2024,Cancelled,0,Yes,No,NA
ORD100140,18-08-2024,QLD,Kolkata,Sports,Premium,App,23124,2,COD,WH-Mumbai,20-08-2024,26-08-2024,On-time,0,Yes,Yes,No Issue
ORD100141,28-08-2024,South India,Sydney,Fashion,Standard,App,29536,3,UPI,WH-Melbourne,28-08-2024,04-09-2024,On-time,0,No,Yes,Wrong Item
ORD100142,21-02-2024,QLD,Brisbane,Home & Kitchen,Standard,App,44008,2,Card,WH-Melbourne,22-02-2024,27-02-2024,Delayed,1,No,Yes,Wrong Item
ORD100143,05-04-2024,NSW,Hyderabad,Grocery,Standard,App,30360,1,UPI,WH-Mumbai,05-04-2024,11-04-2024,Delayed,2,Yes,No,NA
ORD100144,09-08-2024,East India,Brisbane,Sports,Budget,App,24035,4,Wallet,WH-Bangalore,10-08-2024,16-08-2024,Delayed,1,Yes,No,NA
ORD100145,18-08-2024,NSW,Melbourne,Beauty,Standard,Web,37992,1,Wallet,WH-Delhi,18-08-2024,22-08-2024,Cancelled,0,Yes,No,NA
ORD100146,24-08-2024,North India,Delhi,Grocery,Premium,App,1469,2,Wallet,WH-Melbourne,25-08-2024,31-08-2024,On-time,0,Yes,No,NA
ORD100147,22-05-2024,NSW,Bangalore,Home & Kitchen,Standard,App,8627,2,COD,WH-Mumbai,22-05-2024,25-05-2024,Delayed,4,No,No,NA
ORD100148,19-06-2024,South India,Melbourne,Sports,Standard,Web,32570,3,UPI,WH-Bangalore,19-06-2024,26-06-2024,On-time,0,Yes,No,NA
ORD100149,29-01-2024,West India,Brisbane,Electronics,Budget,Web,39810,1,UPI,WH-Mumbai,31-01-2024,06-02-2024,Delayed,2,No,No,NA
ORD100150,05-02-2024,East India,Chennai,Grocery,Premium,App,31630,4,Wallet,WH-Sydney,07-02-2024,11-02-2024,On-time,0,Yes,Yes,Wrong Item
ORD100151,13-01-2024,QLD,Kolkata,Beauty,Standard,Web,19708,3,COD,WH-Mumbai,14-01-2024,15-01-2024,Delayed,1,Yes,No,NA
ORD100152,08-06-2024,NSW,Chennai,Grocery,Budget,Web,13875,1,Wallet,WH-Sydney,08-06-2024,15-06-2024,On-time,0,Yes,No,NA
ORD100153,22-11-2024,NSW,Brisbane,Electronics,Budget,App,36786,4,COD,WH-Melbourne,24-11-2024,25-11-2024,Delayed,4,Yes,No,NA
ORD100154,05-07-2024,West India,Mumbai,Grocery,Standard,App,20904,2,Card,WH-Melbourne,05-07-2024,10-07-2024,On-time,0,Yes,No,NA
ORD100155,30-08-2024,East India,Kolkata,Beauty,Standard,Web,14040,4,UPI,WH-Mumbai,30-08-2024,01-09-2024,Cancelled,0,Yes,Yes,No Issue
ORD100156,26-03-2024,VIC,Bangalore,Home & Kitchen,Standard,App,29676,3,COD,WH-Melbourne,28-03-2024,30-03-2024,On-time,0,No,Yes,Late Delivery
ORD100157,10-10-2024,QLD,Chennai,Beauty,Budget,App,21840,1,Wallet,WH-Mumbai,12-10-2024,13-10-2024,On-time,0,Yes,No,NA
ORD100158,06-03-2024,NSW,Mumbai,Home & Kitchen,Standard,Web,24861,2,COD,WH-Mumbai,07-03-2024,11-03-2024,On-time,0,No,No,NA
ORD100159,18-06-2024,NSW,Melbourne,Beauty,Budget,App,12512,3,COD,WH-Sydney,19-06-2024,24-06-2024,On-time,0,Yes,Yes,Damaged
ORD100160,14-02-2024,VIC,Melbourne,Fashion,Premium,Web,44244,3,Card,WH-Delhi,14-02-2024,18-02-2024,On-time,0,Yes,Yes,Wrong Item
ORD100161,02-03-2024,QLD,Delhi,Grocery,Standard,Web,15929,3,Wallet,WH-Mumbai,04-03-2024,06-03-2024,On-time,0,Yes,No,NA
ORD100162,13-05-2024,South India,Kolkata,Grocery,Premium,Web,5107,2,UPI,WH-Delhi,13-05-2024,16-05-2024,On-time,0,No,No,NA
ORD100163,10-10-2024,South India,Delhi,Electronics,Premium,Web,33267,3,COD,WH-Bangalore,10-10-2024,17-10-2024,On-time,0,Yes,Yes,Damaged
ORD100164,28-01-2024,North India,Kolkata,Fashion,Premium,Web,49996,1,Wallet,WH-Melbourne,28-01-2024,04-02-2024,On-time,0,Yes,Yes,Damaged
ORD100165,17-04-2024,West India,Sydney,Electronics,Budget,App,5142,2,UPI,WH-Bangalore,18-04-2024,20-04-2024,On-time,0,Yes,No,NA
ORD100166,13-02-2024,East India,Mumbai,Grocery,Budget,Web,48900,3,COD,WH-Bangalore,15-02-2024,19-02-2024,On-time,0,Yes,No,NA
